epoch,lr-AdamW,step,train_acc_top1,train_acc_top5,train_loss
,0.001,0,,,
0,,49,0.0078125,0.01171875,5.542547225952148
0,,99,0.0078125,0.046875,5.541024208068848
0,,149,0.00390625,0.01171875,5.54152774810791
0,,199,0.0078125,0.01953125,5.541258811950684
0,,249,0.0078125,0.02734375,5.541204452514648
0,,299,0.01171875,0.02734375,5.541702747344971
0,,349,0.0,0.01171875,5.541285514831543
,0.0009997582145792085,391,,,
